"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000186827",0,NA,NA,NA,NA,NA
"ENSG00000186891",0.26477546856132,1.63547652791451,4.99707259535188,0.327286925836495,0.743450880083371,NA
"ENSG00000160072",74.0606749541173,1.1480477471292,0.500423227522039,2.29415359637486,0.0217816776750205,0.135064328891856
"ENSG00000260179",0,NA,NA,NA,NA,NA
"ENSG00000234396",0,NA,NA,NA,NA,NA
"ENSG00000225972",5.41473784261947,-0.330309106803466,1.0712451821446,-0.308341276403408,0.757822660989996,NA
"ENSG00000224315",0,NA,NA,NA,NA,NA
"ENSG00000198744",10.9407412150244,0.0645578960230504,0.706285225893324,0.0914048512644395,0.927170907136843,NA
"ENSG00000279928",0.465160293168597,-2.2474452487297,4.89227483998984,-0.459386547615622,0.645956606815571,NA
"ENSG00000228037",0.267782576704534,1.64367166005314,4.99648446552072,0.328965630013591,0.742181666747366,NA
"ENSG00000142611",7.58309899813159,-0.668529032374275,0.874261832253388,-0.764678277960686,0.444463144100924,NA
"ENSG00000225630",524.931569583392,-0.53830739383844,0.104161129173769,-5.16802571274355,2.36579768243464e-07,8.0287926754336e-06
"ENSG00000131584",97.9120778390434,0.365263525733431,0.233159573555439,1.56658171982194,0.117212493450645,0.387485267949611
"ENSG00000227589",0,NA,NA,NA,NA,NA
"ENSG00000237402",0,NA,NA,NA,NA,NA
"ENSG00000284616",0,NA,NA,NA,NA,NA
"ENSG00000169972",14.3171120262806,0.448709507617513,0.623056461836575,0.720174711445666,0.471417432046986,NA
"ENSG00000157911",19.4073000734438,0.0455639870859686,0.53368260741385,0.085376563622272,0.931962024641543,NA
"ENSG00000269896",4.96229192752778,-0.0959579513538084,1.10244766382913,-0.087040822437337,0.930639063607949,NA
"ENSG00000237973",74.0885062374149,0.0787325713884341,0.272026123118468,0.289430185916908,0.772252197976738,0.930754768766076
"ENSG00000224051",30.7157729161087,0.219978004715517,0.427302737830546,0.514805980023356,0.606688606153757,NA
"ENSG00000228463",0.267782576704534,1.64367166005314,4.99648446552072,0.328965630013591,0.742181666747366,NA
"ENSG00000260972",0,NA,NA,NA,NA,NA
"ENSG00000157933",184.842515698378,0.435088213497106,0.171989702182482,2.5297340944022,0.0114148998728726,0.0856572267352808
"ENSG00000162591",13.9593108266996,-0.582138861723186,0.628408437969064,-0.926370218077568,0.354253615857617,NA
"ENSG00000224340",0,NA,NA,NA,NA,NA
"ENSG00000270035",0,NA,NA,NA,NA,NA
"ENSG00000169962",2.22212126612066,-0.121325887662188,1.7999164961962,-0.0674063979737881,0.946258175928982,NA
"ENSG00000226545",0,NA,NA,NA,NA,NA
"ENSG00000233653",0,NA,NA,NA,NA,NA
"ENSG00000268663",0,NA,NA,NA,NA,NA
"ENSG00000226374",0,NA,NA,NA,NA,NA
"ENSG00000116285",437.17201391872,0.204809741216577,0.113959556772113,1.79721426633959,0.0723016105475001,0.292075246040143
